"Snow mid depth (m)","Snow sample top depth (m)","Snow sample bottom depth (m)","Date (CE)","Non sea-salt Sulphate (�Eq/L)","Residual sulphate (�Eq/L)"
0.035,0.01,0.06,2009.99,0.717,"NaN"
0.085,0.06,0.11,2009.97,0.657,"NaN"
0.155,0.13,0.18,2009.93,0.672,"NaN"
0.205,0.18,0.23,2009.91,0.648,"NaN"
0.25,0.23,0.27,2009.89,0.262,"NaN"
0.315,0.29,0.34,2009.85,0.448,"NaN"
0.365,0.34,0.39,2009.83,0.196,"NaN"
0.415,0.39,0.44,2009.8,0.212,"NaN"
0.465,0.44,0.49,2009.78,0.194,"NaN"
0.515,0.49,0.54,2009.75,0.226,"NaN"
0.56,0.54,0.58,2009.73,0.313,"NaN"
0.031,0.006,0.056,2009.7,0.124,"NaN"
0.081,0.056,0.106,2009.68,0.059,"NaN"
0.126,0.106,0.146,2009.65,-0.019,"NaN"
0.183,0.161,0.206,2009.62,0.039,"NaN"
0.231,0.206,0.256,2009.6,0.034,"NaN"
0.281,0.256,0.306,2009.57,0.021,"NaN"
0.331,0.306,0.356,2009.55,0.099,"NaN"
0.381,0.356,0.406,2009.52,0.079,"NaN"
0.431,0.406,0.456,2009.5,0.085,"NaN"
0.481,0.456,0.506,2009.47,0.053,"NaN"
0.523,0.506,0.541,2009.45,0.072,"NaN"
0.581,0.556,0.606,2009.42,0.187,"NaN"
0.631,0.606,0.656,2009.4,0.038,"NaN"
0.681,0.656,0.706,2009.37,0.053,"NaN"
0.731,0.706,0.756,2009.35,0.055,"NaN"
0.781,0.756,0.806,2009.32,0.123,"NaN"
0.831,0.806,0.856,2009.3,0.33,"NaN"
0.881,0.856,0.906,2009.27,0.152,"NaN"
0.926,0.906,0.946,2009.25,0.156,"NaN"
0.983,0.961,1.006,2009.22,0.317,"NaN"
1.026,1.006,1.046,2009.2,0.488,"NaN"
1.066,1.046,1.086,2009.18,0.383,"NaN"
0.042,0.017,0.067,2009.15,0.453,"NaN"
0.092,0.067,0.117,2009.13,0.28,"NaN"
0.142,0.117,0.167,2009.1,0.324,"NaN"
0.192,0.167,0.217,2009.08,0.35,"NaN"
0.242,0.217,0.267,2009.05,0.532,"NaN"
0.292,0.267,0.317,2009.03,1.069,"NaN"
0.342,0.317,0.367,2009,1.205,"NaN"
0.387,0.367,0.407,2008.97,0.752,"NaN"
0.427,0.407,0.447,2008.93,0.646,"NaN"
0.464,0.447,0.482,2008.91,0.523,"NaN"
0.522,0.497,0.547,2008.86,0.723,"NaN"
0.572,0.547,0.597,2008.82,0.746,"NaN"
0.622,0.597,0.647,2008.78,0.506,"NaN"
0.672,0.647,0.697,2008.74,0.465,"NaN"
0.722,0.697,0.747,2008.71,0.508,"NaN"
0.772,0.747,0.797,2008.67,0.407,"NaN"
0.822,0.797,0.847,2008.63,0.521,"NaN"
0.872,0.847,0.897,2008.59,0.204,"NaN"
0.922,0.897,0.947,2008.55,0.11,"NaN"
0.987,0.972,1.002,2008.5,0.059,"NaN"
0.052,0.027,0.077,2008.46,0.045,"NaN"
0.102,0.077,0.127,2008.42,0.048,"NaN"
0.147,0.127,0.167,2008.39,0.057,"NaN"
0.187,0.167,0.207,2008.36,-0.003,"NaN"
0.252,0.227,0.277,2008.31,-0.146,"NaN"
0.302,0.277,0.327,2008.27,0.05,"NaN"
0.347,0.327,0.367,2008.23,0.105,"NaN"
0.387,0.367,0.407,2008.2,-0.099,"NaN"
0.427,0.407,0.447,2008.17,0.104,"NaN"
0.487,0.467,0.507,2008.12,0.176,"NaN"
0.527,0.507,0.547,2008.09,0.119,"NaN"
0.567,0.547,0.587,2008.06,0.608,"NaN"
0.607,0.587,0.627,2008.03,0.648,"NaN"
0.652,0.627,0.677,2008,0.612,"NaN"
0.702,0.677,0.727,2007.96,0.401,"NaN"
0.752,0.727,0.777,2007.92,1.203,"NaN"
0.817,0.797,0.837,2007.87,1.257,"NaN"
0.857,0.837,0.877,2007.84,1.407,"NaN"
0.902,0.877,0.927,2007.8,0.797,"NaN"
0.952,0.927,0.977,2007.76,0.494,"NaN"
0.992,0.977,1.007,2007.73,"NaN","NaN"
0.062,0.037,0.087,2007.69,0.678,"NaN"
0.112,0.087,0.137,2007.66,0.353,"NaN"
0.162,0.137,0.187,2007.62,0.146,"NaN"
0.219,0.202,0.237,2007.57,0.123,"NaN"
0.262,0.237,0.287,2007.54,0.049,"NaN"
0.312,0.287,0.337,2007.5,-0.024,"NaN"
0.362,0.337,0.387,2007.46,0.168,"NaN"
0.412,0.387,0.437,2007.42,0.189,"NaN"
0.462,0.437,0.487,2007.39,0.308,"NaN"
0.512,0.487,0.537,2007.35,0.362,"NaN"
0.562,0.537,0.587,2007.31,0.14,"NaN"
0.612,0.587,0.637,2007.27,-0.023,"NaN"
0.662,0.637,0.687,2007.23,0.137,"NaN"
0.732,0.707,0.757,2007.18,0.169,"NaN"
0.782,0.757,0.807,2007.14,0.768,"NaN"
0.832,0.807,0.857,2007.1,0.6,"NaN"
0.882,0.857,0.907,2007.06,0.625,"NaN"
0.949,0.922,0.977,2007.01,1.227,"NaN"
1.002,0.977,1.027,2006.97,"NaN","NaN"
0.072,0.047,0.097,2006.92,1.23,"NaN"
0.122,0.097,0.147,2006.88,1.33,"NaN"
0.172,0.147,0.197,2006.84,0.872,"NaN"
0.222,0.197,0.247,2006.8,0.694,"NaN"
0.267,0.247,0.287,2006.76,0.76,"NaN"
0.324,0.302,0.347,2006.72,0.835,"NaN"
0.372,0.347,0.397,2006.68,0.072,"NaN"
0.422,0.397,0.447,2006.64,0.067,"NaN"
0.472,0.447,0.497,2006.6,0.063,"NaN"
0.522,0.497,0.547,2006.56,0.076,"NaN"
0.572,0.547,0.597,2006.52,0.102,"NaN"
0.617,0.597,0.637,2006.49,0.025,"NaN"
0.657,0.637,0.677,2006.45,0.038,"NaN"
0.722,0.697,0.747,2006.4,0.184,"NaN"
0.772,0.747,0.797,2006.36,0.187,"NaN"
0.817,0.797,0.837,2006.33,0.177,"NaN"
0.879,0.862,0.897,2006.28,0.302,"NaN"
0.922,0.897,0.947,2006.24,0.149,"NaN"
0.972,0.947,0.997,2006.2,0.441,"NaN"
1.014,0.997,1.032,2006.17,0.194,"NaN"
0.082,0.057,0.107,2006.13,0.306,"NaN"
0.132,0.107,0.157,2006.09,0.394,"NaN"
0.177,0.157,0.197,2006.06,0.712,"NaN"
0.237,0.217,0.257,2006.01,1.855,"NaN"
0.282,0.257,0.307,2005.97,1.124,"NaN"
0.332,0.307,0.357,2005.94,0.61,"NaN"
0.382,0.357,0.407,2005.9,0.559,"NaN"
0.432,0.407,0.457,2005.86,0.527,"NaN"
0.482,0.457,0.507,2005.82,0.451,"NaN"
0.532,0.507,0.557,2005.79,0.302,"NaN"
0.582,0.557,0.607,2005.75,0.109,"NaN"
0.632,0.607,0.657,2005.71,0.142,"NaN"
0.682,0.657,0.707,2005.67,0.13,"NaN"
0.727,0.707,0.747,2005.64,0.032,"NaN"
0.767,0.747,0.787,2005.61,-0.068,"NaN"
0.832,0.807,0.857,2005.56,0.068,"NaN"
4.815,4.79,4.84,2005.5,0.072,"NaN"
4.865,4.84,4.89,2005.46,0.167,"NaN"
4.915,4.89,4.94,2005.42,0.147,"NaN"
4.965,4.94,4.99,2005.38,0.239,"NaN"
5.015,4.99,5.04,2005.35,0.402,"NaN"
5.078,5.065,5.09,2005.3,0.635,"NaN"
5.115,5.09,5.14,2005.27,0.374,"NaN"
5.165,5.14,5.19,2005.23,0.591,"NaN"
5.215,5.19,5.24,2005.19,0.593,"NaN"
5.265,5.24,5.29,2005.15,0.704,"NaN"
